Rank,Nome,Nota
901,The Palaces of Carrara,7.14
902,Qwixx,6.87
903,Tinners' Trail,7.22
904,Werewords,7.14
905,Dinosaur World,7.42
906,Abomination: The Heir of Frankenstein,7.47
907,Lovecraft Letter,7.21
908,Red Rising,7.05
909,Pictomania,7.27
910,Catacombs (Third Edition),7.49
911,Akrotiri,7.19
912,Clever Cubed,7.53
913,Last Night on Earth: The Zombie Game,6.91
914,Mahjong,7.04
915,Coffee Roaster,7.37
916,San Marco,7.17
917,Roam,7.32
918,Formula Dé,6.99
919,Brew Crafters,7.40
920,Zombicide: Invader,7.82
921,Signorie,7.39
922,Unlock!: Epic Adventures,7.76
923,Luxor,7.19
924,Palm Island,7.10
925,Kitchen Rush,7.26
926,Ohanami,7.31
927,Nightmare Productions,7.06
928,Virgin Queen,8.02
929,Genoa,7.05
930,Tiny Epic Dungeons,7.55
931,Call to Adventure,7.12
932,Homesteaders,7.20
933,Black Sonata,7.48
934,Tragedy Looper,7.18
935,Maharaja: The Game of Palace Building in India,7.11
936,Istanbul: The Dice Game,7.16
937,Unmatched Game System,8.28
938,Jaws,7.13
939,Bridge,7.46
940,Lanterns: The Harvest Festival,6.88
941,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.51
942,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.94
943,Thunder Alley,7.31
944,Brazil: Imperial,7.68
945,Caylus 1303,7.48
946,Next Station: London,7.46
947,Tak,7.60
948,Warhammer Underworlds: Shadespire,7.64
949,The Others,7.32
950,Adrenaline,7.00
951,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
952,Legendary: A Marvel Deck Building Game – Villains,7.54
953,Kingsburg (Second Edition),7.42
954,Attika,6.99
955,Tidal Blades: Heroes of the Reef,7.56
956,Core Worlds,7.16
957,Louis XIV,7.05
958,DinoGenics,7.63
959,Wasteland Express Delivery Service,7.34
960,Marrakesh,8.18
961,Smash Up: Science Fiction Double Feature,7.26
962,Tiny Epic Quest,6.99
963,Orchard: A 9 card solitaire game,7.37
964,Meeple Circus,7.05
965,Qwirkle,6.78
966,Zooloretto,6.80
967,Lowlands,7.41
968,Heroscape Master Set: Swarm of the Marro,7.63
969,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.10
970,Snow Tails,6.97
